ID,Text,Translation,Old Text,Old Translation,Status,Gender,Critical Warnings,Non-critical Warnings,Platform Warnings,Location,Context,Section,Actor,Voice Actor,Revision,Old Revision,Edit Distance
12907,Eldath,埃达丝,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00006),,,,,1005383,,
12908,Leira,莱拉,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00007),,,,,1005383,,
12909,Uenuku,吴恩努库,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00008),,,,,1005383,,
12910,Tangaloa,唐葛洛雅,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00009),,,,,1005383,,
12911,SpaceTuna,太空金枪鱼,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00010),,,,,1005383,,
12912,Thassa,瑟萨,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00011),,,,,1005383,,
12913,Erebos,厄瑞玻斯,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00012),,,,,1005383,,
12914,Thaddeus,撒迪厄斯,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00013),,,,,1005383,,
12915,Lucidonius,卢西多尼亚斯,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00014),,,,,1005383,,
12916,Bertha,贝莎,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00015),,,,,1005383,,
12917,Pontus,蓬托斯,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00016),,,,,1005383,,
12918,McAsteroidface,快速小行星表面,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00017),,,,,1005383,,
12919,Purphoros,珀尔福罗,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00018),,,,,1005383,,
12920,Akira,阿基拉,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00019),,,,,1005383,,
