ID,Text,Translation,Old Text,Old Translation,Status,Gender,Critical Warnings,Non-critical Warnings,Platform Warnings,Location,Context,Section,Actor,Voice Actor,Revision,Old Revision,Edit Distance
14561,<trains>/<max_trains> <icon_Train>,<trains>/<max_trains> <icon_Train>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/ColonyControlCenter.lua(00063),,,,,1011091,,
14562,Broken segments: <elements><right>,受损部分：<elements><right>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DisasterHandling.lua(00155),,,,,1011115,,
14375,<icon_Drone_red> ,<icon_Drone_red> ,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DisasterHandling.lua(00164),,,,,1011042,,
14563,"<resource(collected,total,res)>","<resource(collected,total,res)>",,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DisasterHandling.lua(00174),,,,,1011115,,
14564,<progress> %,<progress> %,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DisasterHandling.lua(00181),,,,,1011115,,
14565,<stored>/<max> <icon_Resources>,<stored>/<max> <icon_Resources>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00226),,,,,1011115,,
14542,<newline><center><em>Resources stored</em>,<newline><center><em>存储的资源</em>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00233),,,,,1011061,,
14566,Total<right><stored>/<max> <icon_Resources>,总计<right><stored>/<max> <icon_Resources>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00234),,,,,1011115,,
14543,<center><image UI/Common/rollover_line.tga>,<center><image UI/Common/rollover_line.tga>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00237),,,,,1011061,,
14567,"<left><resource(res)><right><resource(GetStoredAmount(res),GetMaxStorage(res),res)>","<left><resource(res)><right><resource(GetStoredAmount(res),GetMaxStorage(res),res)>",,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00404),,,,,1011115,,
14568,"
Toggle storage of this resource.

Status: <on_off(IsResourceEnabled(res))>",,"
Toggle storage of this resource.

Status: <on_off(IsResourceEnabled(res))>","
切换此资源的存储。

状态：<on_off(IsResourceEnabled(res))>",changed,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00405),,,,,1011115,1011115,3
14569,"<right><resource(available,capacity,res)>","<right><resource(available,capacity,res)>",,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/FluidsTransportationHub.lua(00262),,,,,1011115,,
14570,"<left><resource(res)><right><resource(available,capacity,res)>","<left><resource(res)><right><resource(available,capacity,res)>",,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/FluidsTransportationHub.lua(00266),,,,,1011115,,
14571,"
Toggle pulling this resource from nearby grids to the tanks in range.

Status: <on_off(IsFluidResourceEnabled(res))>",,"
Toggle pulling this resource from nearby grids to the tanks in range.

Status: <on_off(IsFluidResourceEnabled(res))>","
切换将此资源从附近供应网传送至范围内的存储罐。

状态：<on_off(IsFluidResourceEnabled(res))>",changed,,,,,Trunk\Mars/Dlc/prunariu/Code/FluidsTransportationHub.lua(00270),,,,,1011115,1011115,3
14378,Train Metal cost,列车金属花费,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00005),,,,,1011042,,
14377,Price for constructing a Train,建造列车的价格,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00011),,,,,1011042,,
14379,Train Machine Parts cost,列车机械零件花费,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00013),,,,,1011042,,
14380,Train construction time,列车建造时间,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00021),,,,,1011042,,
14381,Send out Train,派遣列车,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00644),,,,,1011042,,
14382,Assign a Train to a connected Track.,将列车指派到相连的轨道上。,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00645),,,,,1011042,,
14383,<left_click> Select Track,<left_click> 选择轨道,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00646),,,,,1011042,,
14384,<left_click> Cancel,<left_click> 取消,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00646),,,,,1011042,,
14385,<ButtonA> Select Track,<ButtonA> 选择轨道,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00647),,,,,1011042,,
