ID,Text,Translation,Old Text,Old Translation,Status,Gender,Critical Warnings,Non-critical Warnings,Platform Warnings,Location,Context,Section,Actor,Voice Actor,Revision,Old Revision,Edit Distance
14561,<trains>/<max_trains> <icon_Train>,<trains>/<max_trains> <icon_Train>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/ColonyControlCenter.lua(00063),,,,,1011091,,
14562,Broken segments: <elements><right>,受損部分：<elements><right>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DisasterHandling.lua(00155),,,,,1011115,,
14375,<icon_Drone_red> ,<icon_Drone_red> ,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DisasterHandling.lua(00164),,,,,1011042,,
14563,"<resource(collected,total,res)>","<resource(collected,total,res)>",,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DisasterHandling.lua(00174),,,,,1011115,,
14564,<progress> %,<progress> %,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DisasterHandling.lua(00181),,,,,1011115,,
14565,<stored>/<max> <icon_Resources>,<stored>/<max> <icon_Resources>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00226),,,,,1011115,,
14542,<newline><center><em>Resources stored</em>,<newline><center><em>儲存的資源</em>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00233),,,,,1011061,,
14566,Total<right><stored>/<max> <icon_Resources>,總計<right><stored>/<max> <icon_Resources>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00234),,,,,1011115,,
14543,<center><image UI/Common/rollover_line.tga>,<center><image UI/Common/rollover_line.tga>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00237),,,,,1011061,,
14567,"<left><resource(res)><right><resource(GetStoredAmount(res),GetMaxStorage(res),res)>","<left><resource(res)><right><resource(GetStoredAmount(res),GetMaxStorage(res),res)>",,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00404),,,,,1011115,,
14568,"
Toggle storage of this resource.

Status: <on_off(IsResourceEnabled(res))>",,"
Toggle storage of this resource.

Status: <on_off(IsResourceEnabled(res))>","
切換此資源的儲存。

狀態：<on_off(IsResourceEnabled(res))>",changed,,,,,Trunk\Mars/Dlc/prunariu/Code/DynamicStorageDepot.lua(00405),,,,,1011115,1011115,3
14569,"<right><resource(available,capacity,res)>","<right><resource(available,capacity,res)>",,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/FluidsTransportationHub.lua(00262),,,,,1011115,,
14570,"<left><resource(res)><right><resource(available,capacity,res)>","<left><resource(res)><right><resource(available,capacity,res)>",,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/FluidsTransportationHub.lua(00266),,,,,1011115,,
14571,"
Toggle pulling this resource from nearby grids to the tanks in range.

Status: <on_off(IsFluidResourceEnabled(res))>",,"
Toggle pulling this resource from nearby grids to the tanks in range.

Status: <on_off(IsFluidResourceEnabled(res))>","
切換將此資源從附近供應網傳送至範圍內的儲存罐。

狀態：<on_off(IsFluidResourceEnabled(res))>",changed,,,,,Trunk\Mars/Dlc/prunariu/Code/FluidsTransportationHub.lua(00270),,,,,1011115,1011115,3
14378,Train Metal cost,列車金屬花費,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00005),,,,,1011042,,
14377,Price for constructing a Train,建造列車的價格,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00011),,,,,1011042,,
14379,Train Machine Parts cost,列車機械零件花費,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00013),,,,,1011042,,
14380,Train construction time,列車建造時間,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00021),,,,,1011042,,
14381,Send out Train,派遣列車,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00644),,,,,1011042,,
14382,Assign a Train to a connected Track.,將列車指派到相連的軌道上。,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00645),,,,,1011042,,
14383,<left_click> Select Track,<left_click> 選擇軌道,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00646),,,,,1011042,,
14384,<left_click> Cancel,<left_click> 取消,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00646),,,,,1011042,,
14385,<ButtonA> Select Track,<ButtonA> 選擇軌道,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00647),,,,,1011042,,
14544,<yellow>Select a Track</yellow>,<yellow>選擇一條軌道</yellow>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00663),,,,,1011061,,
14545,<red>Track is invalid or getting destroyed</red>,<red>軌道無效或已被摧毀</red>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00665),,,,,1011061,,
14546,<red>Track not connected to Station</red>,<red>軌道未連線至車站</red>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00667),,,,,1011061,,
14547,<red>Track is broken and needs repairs</red>,<red>軌道受損，需要修復</red>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00669),,,,,1011061,,
14548,<green>Assign to this Track</green>,<green>指派到此軌道</green>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00671),,,,,1011061,,
14549,<red>Maximum number of Trains on this route</red>,<red>此線路上列車的數量上限</red>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00673),,,,,1011061,,
14391,<count(waiting_for_train)>/<colonist(max_colonists_to_transport)>,<count(waiting_for_train)>/<colonist(max_colonists_to_transport)>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00736),,,,,1011042,,
14393,Available Trains<right><available_trains> <icon_Train>,可用列車<right><available_trains> <icon_Train>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00751),,,,,1011049,,
14394,Under construction<right><trains_in_construction> <icon_Train>,建造中<right><trains_in_construction> <icon_Train>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00752),,,,,1011042,,
14396,Waiting time (rolling average)<right><SpentTimeAverageInHours> hours,等待時間（移動平均）<right><SpentTimeAverageInHours> 小時,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Station.lua(00757),,,,,1011042,,
14398,"Show historical data for Drones, Trains and Shuttles.",顯示無人機、列車與穿梭機的歷史資料,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TimeSeries.lua(00026),,,,,1011042,,
14572,<graph_right>Trains</graph_right> <em>(<trains>)</em>,<graph_right>列車</graph_right> <em>(<trains>)</em>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TimeSeries.lua(00027),,,,,1011115,,
14400,Used by Trains to travel between Stations.,供列車在車站之間行駛。,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Track.lua(00040),,,,,1011042,,
14550,Track being removed. Waiting for Trains to stop at Stations.,軌道正在被移除。等待列車進站。,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Track.lua(00167),,,,,1011061,,
14551,This Track is damaged. Trains can't run until repairs are completed and colonists onboard may suffocate.,軌道受損。列車直到修理完成才能執行，車上殖民地居民可能會窒息。,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Track.lua(00173),,,,,1011061,,
14552,Connected Stations are not working. Trains will finish their trips but won't start new ones.,相連的車站不工作。列車會開完的當前的行程，但不會開始新的行程。,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Track.lua(00175),,,,,1011061,,
14392,<center><em>Trains</em>,<center><em>列車</em>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Track.lua(00354),,,,,1011042,,
14573,Trains on Track<right><trains>/<max> <icon_Train>,軌道上的列車<right><trains>/<max> <icon_Train>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Track.lua(00355),,,,,1011115,,
14420,Trip duration: <TripTimeInHours> hours,行程持續時間：<TripTimeInHours>小時,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Track.lua(00356),,,,,1011042,,
14395,<center><em>Passengers</em>,<center><em>乘客</em>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Track.lua(00357),,,,,1011042,,
14421,Travel time (rolling average)<right><SpentTimeAverageInHours> hours,旅行時間（移動平均）<right><SpentTimeAverageInHours> 小時,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Track.lua(00360),,,,,1011042,,
14397,Waiting another Train (today/y-day)<right><full_today>/<colonist(full_yesterday)>,正在等待其他列車（今日/昨日）<right><full_today>/<colonist(full_yesterday)>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Track.lua(00361),,,,,1011042,,
14404,Track piece,軌道碎片,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackElement.lua(00114),,,,,1011042,,
14405,Track pieces,軌道碎片,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackElement.lua(00115),,,,,1011042,,
14406,"Curves too close too each other, minimum two straight elements needed in between.",彎道彼此過於靠近，之間至少需要兩個直道單元。,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackGridConstruction.lua(00004),,,,,1011042,,
14407,Curves too close,彎道過於靠近,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackGridConstruction.lua(00005),,,,,1011042,,
14408,The Track must start and end at a Station.,軌道的起止點必須為車站。,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackGridConstruction.lua(00010),,,,,1011061,,
14409,No station,無車站,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackGridConstruction.lua(00011),,,,,1011042,,
14410,Straight Track must start and end on a Station.,直道的起止點必須為車站。,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackGridConstruction.lua(00016),,,,,1011042,,
14411,Invalid connection,無效連線,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackGridConstruction.lua(00017),,,,,1011042,,
14412,Track must start and end at different Stations.,軌道的起止點必須為不同的車站,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackGridConstruction.lua(00022),,,,,1011042,,
14413,Same Station,同一車站,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackGridConstruction.lua(00023),,,,,1011042,,
14399,Track,軌道,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackGridConstruction.lua(00034),,,,,1011042,,
14414,Connect two Stations by placing the ends of the Track on their connection points. Tracks must be one hex away from other parallel Track. Curved Tracks must be two elements apart.,用軌道的兩端放置在兩座車站的連線點上，以將車站相連。軌道與其他平行軌道的距離必須至少為一格。彎道的間距必須為至少兩個單元。,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TrackGridConstruction.lua(00037),,,,,1011042,,
14415,Train,列車,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Train.lua(00051),,,,,1011042,,
14416,Vehicle that transports resources and colonists between two Stations.,將資源和殖民地居民在車站之間運輸的載具。,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Train.lua(00054),,,,,1011042,,
14417,Loading cargo for <h SelectNextStation InfopanelSelect><NextStationName></h>,正在裝載運往<h SelectNextStation InfopanelSelect><NextStationName></h>的貨物,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Train.lua(00383),,,,,1011042,,
14418,Unloading cargo from <h SelectNextStation InfopanelSelect><NextStationName></h>,正在解除安裝來自<h SelectNextStation InfopanelSelect><NextStationName></h>的貨物,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Train.lua(00384),,,,,1011042,,
14419,Going to <h SelectNextStation InfopanelSelect><NextStationName></h>,正在前往<h SelectNextStation InfopanelSelect><NextStationName></h>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Train.lua(00385),,,,,1011042,,
14575,"<right><resource(transported,res)>","<right><resource(transported,res)>",,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Train.lua(00462),,,,,1011115,,
14574,"<left><resource(res)><right><resource(transported,res)>","<left><resource(res)><right><resource(transported,res)>",,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/Train.lua(00465),,,,,1011115,,
14422,<red>Had to wait for the next Train <amount></red>,<red>必須等待下一班列車<amount></red>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TransportColonists.lua(00003),,,,,1011042,,
14423,<red>Travel time penalty (-1 per hour) <amount></red>,<red>旅行時間懲罰（每小時-1）<amount></red>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TransportColonists.lua(00004),,,,,1011042,,
14424,<green>Seen forest from Train <amount></green>,<green>在列車上看見森林<amount></green>,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TransportColonists.lua(00005),,,,,1011042,,
14425,Returning home,回家途中,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TransportColonists.lua(00160),,,,,1011042,,
14426,Going to Work,上班途中,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TransportColonists.lua(00161),,,,,1011042,,
14427,Relocating,遷移途中,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Code/TransportColonists.lua(00162),,,,,1011042,,
14428,"Taking the Train from <h SelectTravelSrcStation InfopanelSelect><TravelSrcStation></h>
<right>Destination: <h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>Traveling for <TravelTimeInHours> hours",,"Taking the Train from <h SelectTravelSrcStation InfopanelSelect><TravelSrcStation></h>
<right>Destination: <h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>Traveling for <TravelTimeInHours> hours","乘坐的列車來自<h SelectTravelSrcStation InfopanelSelect><TravelSrcStation></h>
<right>目的地：<h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>行駛時間<TravelTimeInHours>小時",changed,,,,,Trunk\Mars/Dlc/prunariu/Code/TransportColonists.lua(00182),,,,,1011061,1011061,2
14429,"Waiting for train at <h SelectTravelSrcStation InfopanelSelect><TravelSrcStation></h>
<right>Destination: <h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>Traveling for <TravelTimeInHours> hours",,"Waiting for train at <h SelectTravelSrcStation InfopanelSelect><TravelSrcStation></h>
<right>Destination: <h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>Traveling for <TravelTimeInHours> hours","等待列車地點<h SelectTravelSrcStation InfopanelSelect><TravelSrcStation></h>
<right>目的地：<h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>行駛時間<TravelTimeInHours>小時",changed,,,,,Trunk\Mars/Dlc/prunariu/Code/TransportColonists.lua(00183),,,,,1011042,1011042,2
14430,"Taking the Train to <h SelectTravelDstStation InfopanelSelect><TravelDstStation></h>
<right>Destination: <h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>Traveling for <TravelTimeInHours> hours",,"Taking the Train to <h SelectTravelDstStation InfopanelSelect><TravelDstStation></h>
<right>Destination: <h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>Traveling for <TravelTimeInHours> hours","乘坐列車前往<h SelectTravelDstStation InfopanelSelect><TravelDstStation></h>
<right>目的地：<h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>行駛時間<TravelTimeInHours>小時",changed,,,,,Trunk\Mars/Dlc/prunariu/Code/TransportColonists.lua(00184),,,,,1011061,1011061,2
14431,"Traveling to a new home from <h SelectTravelSrcStation InfopanelSelect><TravelSrcStation></h>
<right>Destination <h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>Traveling for <TravelTimeInHours> hours",,"Traveling to a new home from <h SelectTravelSrcStation InfopanelSelect><TravelSrcStation></h>
<right>Destination <h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>Traveling for <TravelTimeInHours> hours","前往新家，出發地點<h SelectTravelSrcStation InfopanelSelect><TravelSrcStation></h>
<right>目的地<h SelectTravelDestination InfopanelSelect><TravelDestination></h>
<right>行駛時間<TravelTimeInHours>小時",changed,,,,,Trunk\Mars/Dlc/prunariu/Code/TransportColonists.lua(00185),,,,,1011042,1011042,2
14432,Large Station,大型車站,,,OK,,,,,Trunk\Mars/Dlc/prunariu/Presets/BuildingTemplate.lua(00020),BuildingTemplate StationBig display_name,,,,1011042,,
